age,income,debt_ratio,num_loans,missed_payments,credit_history_years,employment_years,savings,defaulted
49,62600,0.2462,2,1,14,10,13008,0
56,30653,0.3838,3,0,10,7,39458,0
33,45359,0.118,4,0,19,25,8115,0
52,27049,0.3151,0,4,8,1,12718,0
27,53095,0.1898,5,4,19,27,19910,0
42,62808,0.091,9,1,4,15,0,1
48,32799,0.273,5,1,10,24,46481,0
22,95983,0.2174,1,3,3,27,19987,0
62,60562,0.2333,9,3,4,9,32369,1
65,56155,0.2729,5,2,16,17,5637,0
26,70393,0.1605,7,4,4,6,30676,0
48,38421,0.2534,5,5,13,4,31948,1
48,58269,0.3492,3,2,17,28,34113,0
64,40662,0.2572,3,2,16,6,48574,0
64,86173,0.042,8,0,17,20,11626,0
40,33827,0.1911,5,5,6,27,17200,0
50,56263,0.1821,7,0,3,5,7321,0
31,61586,0.2044,7,3,4,23,18556,0
48,62896,0.5078,6,2,8,0,29961,1
45,43375,0.2388,2,3,9,28,29153,0
59,37089,0.0919,9,5,1,10,44611,1
53,43664,0.1765,0,5,13,12,27352,0
21,65566,0.4434,4,4,2,11,20008,1
47,52123,0.4926,9,1,10,0,3623,1
33,70924,0.1249,9,0,19,20,32994,0
61,64540,0.2464,1,4,17,14,17652,0
23,15000,0.1518,9,4,13,0,33335,1
59,59949,0.0602,1,0,14,2,13628,0
26,100009,0.1627,6,0,11,25,38010,0
28,81505,0.302,2,5,10,14,25794,0
47,63440,0.5021,7,5,7,8,34883,1
29,33812,0.3042,8,2,10,13,25787,1
57,64551,0.29,7,3,1,28,6119,0
53,69794,0.1026,5,5,14,22,14519,0
62,49925,0.5497,4,4,3,27,793,0
64,61334,0.2708,2,2,13,21,22769,0
44,85193,0.1815,2,2,2,23,0,0
35,37854,0.0485,6,4,17,7,24408,1
52,33834,0.4526,4,5,3,21,0,1
52,68853,0.1491,5,4,15,3,32148,1
44,64150,0.0851,5,1,8,19,3444,0
61,75576,0.2871,8,5,6,19,5691,1
69,66395,0.2817,0,3,9,5,40578,0
69,43644,0.0916,7,4,11,0,24796,1
32,63643,0.4472,9,5,2,27,32695,1
59,32157,0.0552,4,0,9,17,4919,0
22,49993,0.4051,5,1,18,5,34428,0
23,65055,0.2816,5,3,19,29,17938,0
69,47789,0.2557,0,5,18,13,21764,0
57,104361,0.1236,2,0,5,10,42354,0
69,17156,0.3752,5,5,18,16,2556,1
37,44050,0.6372,8,0,12,8,33695,1
69,36244,0.1349,5,3,4,27,25781,0
22,40993,0.2315,5,1,15,21,16803,0
22,42140,0.3385,0,0,11,6,3587,0
48,28471,0.4571,8,2,19,13,16635,0
43,70054,0.0294,3,3,5,27,7724,0
57,44058,0.5077,1,3,6,16,37802,0
52,58271,0.2361,0,4,13,7,21376,0
53,46303,0.3139,2,1,10,27,9845,0
21,41182,0.3559,2,2,14,15,0,1
39,88445,0.2405,4,2,4,11,13054,0
22,73458,0.4764,0,4,12,11,38543,0
64,17635,0.3236,6,0,15,27,21671,0
46,15517,0.0303,0,0,10,27,17297,0
52,75852,0.3251,3,2,11,4,45480,1
26,44602,0.6496,5,1,9,4,13781,1
52,22018,0.3293,0,0,11,13,7875,0
24,75914,0.5234,6,3,2,5,26061,1
31,58382,0.3103,9,5,13,6,26293,1
37,60031,0.4993,6,4,8,22,11198,1
58,71190,0.4259,2,1,8,20,8035,0
44,28800,0.2495,3,0,1,16,41706,0
25,22369,0.109,5,5,6,26,13505,1
54,86619,0.2844,6,2,13,8,0,0
26,26256,0.4017,3,4,9,21,22893,1
42,30555,0.0448,9,0,6,12,33418,0
31,34551,0.5476,8,2,15,8,17140,0
68,96598,0.4651,8,0,16,26,28056,0
36,64867,0.367,8,4,4,15,4289,1
53,74308,0.0226,9,3,17,3,29423,0
29,58923,0.2605,5,3,9,1,5671,1
26,42962,0.6084,1,5,12,12,24577,1
36,67625,0.1689,1,2,19,12,31515,0
49,23867,0.2656,3,3,12,18,21480,1
23,33094,0.4919,8,4,6,11,1468,1
40,69659,0.3618,2,2,12,3,2118,0
56,27854,0.0329,5,0,9,9,43896,0
39,51218,0.2198,1,1,5,15,8477,0
46,52129,0.2089,0,0,3,27,31476,0
23,44426,0.2432,4,4,2,23,21775,1
39,15977,0.5012,7,5,8,18,4939,1
40,42421,0.1365,9,2,10,7,12008,0
52,38500,0.4254,9,0,15,5,45497,0
27,58228,0.1324,1,2,9,3,72344,0
61,57209,0.5268,9,3,10,29,15240,0
53,62559,0.1357,8,1,11,6,14204,0
60,41480,0.1114,7,4,9,13,0,0
59,65455,0.2934,2,0,14,26,0,0
38,23879,0.2177,0,1,5,12,7141,0
60,18561,0.3545,3,4,9,20,13324,1
21,15000,0.1583,7,4,4,4,19618,1
31,45014,0.0554,2,5,2,8,30352,0
48,39934,0.3394,9,3,19,28,23313,0
45,70786,0.1902,1,5,1,2,30600,0
43,42026,0.1069,6,5,1,9,10790,1
51,60467,0.1518,3,2,12,14,18938,0
50,71265,0.336,5,2,11,19,14538,0
62,41273,0.0656,4,1,1,20,999,0
55,60961,0.2748,1,3,14,16,0,0
27,75038,0.4615,9,4,11,22,9962,1
36,30236,0.136,1,3,7,23,0,0
46,55497,0.1246,8,3,2,5,3006,0
68,41359,0.1875,9,1,15,24,28177,0
69,31510,0.3118,1,2,8,2,22702,1
22,24270,0.6222,7,3,15,17,20321,0
21,31187,0.1905,7,3,8,4,37707,1
68,56200,0.2069,0,3,10,12,9072,0
32,22783,0.4385,0,0,19,24,30229,0
25,43985,0.2367,3,3,3,26,7893,0
57,71263,0.1442,1,3,14,0,24161,0
52,63980,0.1607,0,4,9,16,22303,0
29,44389,0.2965,8,5,9,25,23112,1
61,88793,0.2572,2,0,6,2,14199,0
55,92860,0.1446,0,3,8,25,24789,0
39,55522,0.1686,1,5,11,18,25962,0
68,15000,0.0907,7,3,8,20,0,1
36,72728,0.5939,4,1,12,19,32727,0
23,15000,0.105,6,1,10,21,1461,0
40,84522,0.2976,5,5,4,11,6839,0
44,76671,0.3826,0,0,16,7,23629,0
53,90484,0.2119,5,4,6,7,28968,0
44,60205,0.1245,6,0,9,14,23300,0
31,47772,0.3073,3,0,5,10,24883,0
69,45997,0.0986,7,1,6,19,2949,0
28,44074,0.108,7,1,17,0,12144,0
56,74621,0.3773,6,4,17,28,0,1
58,69245,0.1842,1,3,13,15,6218,0
60,57404,0.0392,5,4,17,29,0,0
40,40556,0.4811,5,3,14,13,20199,1
55,107584,0.4409,6,5,2,6,55341,1
68,73247,0.2481,5,5,19,5,31401,0
45,23045,0.1196,1,2,3,20,0,0
55,44674,0.3147,7,1,2,3,0,1
45,73635,0.3263,3,2,2,21,517,0
49,39009,0.3413,8,2,7,7,0,1
38,62030,0.3602,7,1,4,21,15762,0
66,74015,0.1514,2,2,17,18,23431,0
38,15000,0.3312,2,0,6,24,605,0
22,52839,0.0739,7,3,7,2,16654,0
55,53624,0.2645,1,4,6,3,23303,0
36,46758,0.3876,8,1,9,12,30484,1
61,61033,0.3586,3,0,4,20,22341,0
56,68150,0.2518,5,5,5,26,24956,0
53,57841,0.193,2,4,19,1,19438,0
24,47523,0.23,2,4,10,10,4787,0
53,67652,0.1533,2,4,18,15,8067,0
34,55981,0.1258,9,2,15,9,158,1
41,50385,0.3581,1,2,1,14,42480,0
68,28754,0.0789,7,2,5,26,0,0
40,23746,0.032,8,2,5,9,34281,1
28,28375,0.2358,7,0,8,1,0,0
27,60566,0.1927,9,2,15,5,31511,0
23,53418,0.2523,2,1,17,13,34581,0
37,25394,0.1609,6,4,19,1,37279,1
53,67918,0.4083,9,0,13,9,4378,0
68,82486,0.292,1,5,10,16,22464,0
32,43030,0.1538,3,2,17,7,10990,0
42,20180,0.1373,5,5,5,25,6700,1
42,40817,0.3415,4,4,18,15,20657,0
66,72089,0.2747,8,0,17,13,32208,0
50,65970,0.2634,9,4,4,9,11072,0
58,36551,0.299,3,5,7,12,24937,1
58,85423,0.3284,4,0,5,0,6383,0
65,81965,0.1538,3,3,8,9,4351,0
28,40339,0.1607,7,0,8,29,15133,0
47,40134,0.132,7,2,11,21,16032,0
47,43143,0.2031,2,5,9,11,30016,0
54,44853,0.2963,0,4,19,29,1227,0
41,74010,0.2989,5,4,19,16,52379,0
50,63506,0.0447,1,4,9,23,0,0
53,72541,0.6332,1,1,17,13,23421,0
48,68471,0.4687,2,1,16,4,15723,0
67,89290,0.1333,7,2,7,18,10274,0
53,33812,0.1714,2,3,3,4,17373,0
25,62607,0.3763,6,1,19,14,30082,0
68,15000,0.3931,9,0,8,12,32412,1
39,28660,0.3858,9,5,5,16,16736,1
24,53502,0.1903,8,2,6,0,24976,0
55,63364,0.332,7,3,2,27,45,0
69,52963,0.524,0,0,19,13,17235,0
37,43656,0.2287,6,4,13,3,25915,1
64,47211,0.2991,6,1,6,24,0,0
48,82388,0.436,7,0,6,29,21213,0
50,47319,0.0635,9,3,2,8,17476,1
49,89984,0.2349,4,2,5,16,39047,0
66,70880,0.4095,9,0,11,2,22506,0
26,64150,0.1244,8,2,11,12,27197,1
55,31128,0.4313,8,4,14,11,15927,1
61,73704,0.0256,7,3,13,15,29480,0
57,45124,0.3316,5,3,8,3,28434,1
44,31111,0.4763,5,1,15,17,400,1
49,65256,0.2411,0,5,12,22,24664,0
69,27241,0.2811,5,3,3,2,37733,1
66,39755,0.1935,3,0,5,16,34756,0
51,54797,0.2191,3,0,6,0,20410,0
55,99368,0.2301,1,0,2,18,24825,0
53,41261,0.3791,3,4,8,21,33723,1
41,45835,0.4658,4,3,5,3,2917,1
52,69646,0.1175,4,3,17,16,27115,0
43,30234,0.4314,4,0,2,6,0,0
53,63856,0.1676,3,1,11,1,32935,0
23,79118,0.047,0,1,4,11,14228,0
38,48858,0.1841,9,3,11,4,18703,0
45,75523,0.3584,7,3,9,15,11669,0
62,60828,0.4865,2,2,6,7,19384,0
51,40386,0.0766,1,3,2,22,23830,0
23,51043,0.3397,8,0,15,26,31314,0
60,47404,0.4694,6,5,5,27,39492,1
66,53247,0.2258,8,4,12,7,20728,0
44,58054,0.393,1,3,13,12,0,0
52,66763,0.0482,8,3,17,25,39584,0
67,65173,0.3815,9,0,4,13,0,1
42,15000,0.2077,8,2,10,10,13666,1
43,53053,0.1077,8,5,1,5,12644,1
22,24811,0.3778,9,3,11,15,20173,1
47,49485,0.1613,9,1,16,22,1047,0
62,52524,0.1932,3,1,11,24,319,0
22,74522,0.1609,9,1,9,21,19677,0
46,54397,0.3468,2,4,2,24,8033,0
37,60184,0.432,5,4,7,14,40191,0
60,70861,0.0972,2,5,19,15,11736,0
53,79555,0.1229,8,3,18,12,4575,0
29,52539,0.2508,2,3,7,11,45077,0
63,56883,0.3352,1,3,9,17,27049,0
68,55200,0.1557,7,4,12,28,60754,0
59,44148,0.2134,5,5,3,17,0,1
49,39617,0.0582,7,3,16,13,23116,0
62,15000,0.1446,6,0,7,1,27284,1
46,33466,0.3092,2,2,5,21,20417,0
55,19427,0.2021,7,1,7,1,14569,0
45,80103,0.3712,9,1,19,2,38684,0
44,58768,0.1349,0,0,17,28,26995,0
33,52481,0.3402,0,3,16,23,0,0
27,40650,0.6243,9,5,19,7,6959,1
56,55595,0.3594,7,5,18,10,2539,1
65,38040,0.3367,8,4,19,11,18182,1
40,58480,0.1098,9,3,4,3,34232,1
21,59914,0.5419,5,5,1,8,14311,1
28,37772,0.2106,4,3,4,23,16203,1
66,37390,0.4107,1,1,4,16,5314,0
36,74243,0.2521,8,1,9,23,31420,0
34,53942,0.1411,5,4,8,15,38489,1
32,39379,0.0137,7,1,2,16,19513,0
43,47589,0.2831,8,3,6,14,43700,0
35,34788,0.4832,8,0,11,19,11838,0
48,53656,0.2037,7,4,4,25,0,1
54,71632,0.0078,9,0,14,21,32065,0
22,54446,0.3371,7,3,9,6,18561,1
52,102272,0.7422,2,4,2,9,11281,1
43,63427,0.1376,2,0,1,28,21150,0
42,59599,0.0523,1,4,4,3,0,0
45,36833,0.3069,0,3,12,23,0,0
42,50229,0.1519,3,5,5,23,21388,0
42,39419,0.2882,1,4,9,13,26515,0
69,15000,0.1883,1,5,4,13,40907,0
62,74485,0.1822,4,3,16,13,33299,0
26,44770,0.122,3,4,2,24,29530,0
35,39791,0.2046,0,4,16,13,39056,0
63,59211,0.4162,8,5,16,21,27348,1
57,65249,0.0429,3,1,11,19,14836,0
53,48584,0.406,4,5,1,17,33685,1
28,54947,0.4327,6,5,15,14,33134,0
64,69923,0.4255,1,5,4,22,19882,1
64,47796,0.5374,7,3,18,25,2002,1
25,61046,0.135,1,2,17,18,0,0
59,21815,0.1344,9,5,7,26,32635,1
24,30173,0.2824,4,4,18,12,27180,1
26,67110,0.1805,1,0,13,11,29286,0
65,29128,0.4097,1,1,10,18,33196,0
52,59682,0.0605,3,5,1,18,6514,1
50,52060,0.5635,3,5,2,19,0,1
67,47710,0.2496,7,1,17,1,27737,0
55,38430,0.3879,5,5,3,28,37966,1
60,73186,0.1214,9,4,17,28,25277,0
36,89597,0.4087,7,2,12,20,0,0
33,61003,0.1759,6,5,12,2,23610,0
62,61449,0.5179,9,1,10,9,3128,1
50,41353,0.1594,3,5,7,4,0,1
39,31078,0.2744,1,3,10,11,19884,1
37,54205,0.0817,8,4,18,28,22437,0
39,35525,0.0677,1,4,6,6,18520,0
48,19547,0.2582,0,2,7,8,26572,0
46,71068,0.1243,7,3,17,1,8141,0
57,72043,0.0638,9,3,12,24,21285,0
46,37823,0.4416,8,2,17,9,12719,1
43,59879,0.4731,0,0,18,5,16224,0
29,75039,0.3133,6,5,14,11,24026,1
32,59100,0.356,1,3,11,5,35894,0
21,31136,0.4011,5,0,2,26,24384,0
21,50342,0.3351,4,0,1,2,29360,0
67,81536,0.1469,0,4,11,29,20153,0
54,59940,0.46,1,5,2,9,27314,1
52,65782,0.3103,1,4,16,28,35506,0
68,61832,0.0587,9,1,3,8,48187,0
45,37889,0.3389,9,4,1,19,38161,1
60,42583,0.2582,5,3,8,4,19173,0
65,61777,0.3661,0,3,19,2,37169,0
21,71337,0.1867,3,5,1,4,28235,1
36,76998,0.146,9,0,5,7,10891,0
59,37837,0.055,4,3,1,7,28442,0
25,63662,0.3394,1,4,11,13,3069,0
42,78740,0.1892,1,4,9,23,28464,0
49,35258,0.2174,6,5,5,21,46276,1
23,84734,0.2641,6,4,2,16,32339,1
32,87778,0.3188,5,2,13,10,37949,0
46,107501,0.2662,0,5,18,25,14327,0
36,59618,0.1256,2,5,12,15,27213,0
57,59728,0.4009,8,3,14,27,30472,1
42,71539,0.2123,9,5,5,5,15422,1
49,70956,0.033,0,1,10,27,30255,0
34,77527,0.4228,1,3,2,10,26820,0
48,70680,0.211,7,3,4,9,30422,0
25,52878,0.2603,6,2,12,22,4548,0
67,79439,0.3981,8,3,11,29,39141,0
69,33574,0.4741,9,0,4,8,26759,1
50,55117,0.2657,3,4,11,27,18227,0
66,86274,0.3548,3,4,9,23,18589,1
25,29995,0.0941,6,5,10,26,19417,1
32,41450,0.1398,0,2,6,27,7566,0
36,68434,0.1097,9,4,15,23,37837,1
46,62878,0.5503,8,0,10,14,34446,0
46,37499,0.2867,1,2,6,6,35454,0
68,46676,0.0763,0,1,1,17,42697,0
41,31384,0.7825,6,4,4,0,22846,1
59,74609,0.3472,5,3,14,14,0,1
56,49882,0.2732,2,0,8,1,29433,0
53,90843,0.2593,0,0,11,21,28874,0
50,56622,0.1446,4,4,15,28,43307,0
57,50605,0.1934,9,5,19,1,36231,1
43,48663,0.2161,3,1,8,9,22009,0
30,50116,0.3635,4,3,13,19,17835,0
25,57216,0.4596,0,1,18,14,35054,0
56,105248,0.5503,0,1,17,9,0,0
54,48222,0.3894,4,4,6,18,23620,1
51,48872,0.093,5,3,15,21,34184,0
30,56311,0.4212,4,4,13,27,18184,0
39,76805,0.0351,1,4,18,27,14267,0
52,26580,0.1276,8,5,11,12,24422,1
21,64101,0.2634,4,0,13,29,40241,0
25,38651,0.1966,4,5,1,23,26765,1
65,66065,0.1978,9,5,18,10,9844,1
24,45124,0.3373,8,4,5,21,38254,0
36,15000,0.5061,2,5,6,1,41174,1
44,62391,0.113,4,5,1,20,7890,1
36,62222,0.2016,4,2,7,26,61978,0
22,43418,0.2888,1,3,4,12,19990,0
69,42233,0.2798,3,0,9,21,34226,0
48,28772,0.2938,1,3,15,24,30911,0
52,70461,0.0881,4,0,6,21,9529,0
47,72644,0.0107,9,2,17,25,13227,0
40,37418,0.3938,1,4,18,20,21015,0
44,44201,0.3125,9,0,4,0,0,0
32,53734,0.1784,8,0,9,25,32314,0
55,100417,0.4126,9,0,14,4,0,0
53,65902,0.4059,5,2,3,20,20220,1
53,36131,0.0901,7,3,1,21,9924,1
63,61075,0.2383,8,2,11,6,28682,1
57,27466,0.4507,7,0,1,12,0,0
32,69359,0.3195,4,5,12,12,0,1
23,88510,0.1408,4,0,9,19,11048,0
21,88595,0.571,5,5,5,22,27782,1
53,69697,0.2867,0,4,15,20,23323,0
60,43331,0.2144,7,2,18,5,35754,1
30,28981,0.5384,1,5,9,19,21618,1
63,26995,0.4685,5,2,13,11,19733,1
64,15000,0.3337,8,1,13,7,3926,1
49,68877,0.1841,2,3,13,8,16649,0
33,52943,0.3426,1,1,10,17,19707,0
32,73184,0.1094,9,5,10,27,0,0
51,83560,0.3299,4,1,7,10,6646,0
66,56998,0.1427,8,3,5,19,26950,1
22,57919,0.2936,5,5,7,10,22692,1
55,45713,0.4359,7,4,10,23,16204,1
43,48078,0.5147,7,4,10,23,10888,1
37,69569,0.334,6,3,13,14,0,1
46,51512,0.3459,4,3,15,8,0,0
28,48619,0.4204,1,5,6,2,15399,1
49,54633,0.3458,9,2,12,16,42334,0
46,72726,0.4437,9,5,19,24,20553,0
30,41146,0.4399,4,2,11,16,35320,1
46,53669,0.1428,6,2,6,2,2349,0
54,59905,0.1457,6,2,1,18,24247,0
61,78204,0.0831,1,5,2,8,9444,1
27,50214,0.2167,6,0,15,16,8865,0
24,40643,0.5177,5,0,4,22,31168,1
65,45312,0.3486,6,4,5,17,18193,1
31,76061,0.4082,7,0,15,22,0,0
49,95666,0.1157,3,0,11,14,21470,0
56,28724,0.4074,0,2,10,0,9257,0
45,33093,0.1914,7,2,17,28,0,0
41,51624,0.4209,7,3,2,25,5069,1
56,57219,0.1433,2,2,10,9,50688,0
30,70739,0.1133,2,5,3,7,38185,1
57,37177,0.4632,4,3,19,9,0,1
29,33737,0.4047,2,3,5,28,17174,1
44,57761,0.0769,4,0,3,25,18267,0
55,49831,0.2027,7,2,8,1,16009,0
69,73534,0.0588,0,0,5,18,10041,0
55,64747,0.3354,1,2,12,13,31206,0
68,66107,0.2068,1,0,14,7,34140,0
56,52910,0.2242,3,0,7,18,35735,0
38,102111,0.4401,8,0,11,0,24951,0
69,38245,0.0585,1,5,8,15,29129,0
59,67216,0.0625,8,4,5,24,14832,0
52,29606,0.3535,6,0,8,23,0,0
44,33530,0.0318,9,1,12,14,0,0
43,42853,0.1049,7,1,15,19,7224,0
52,87586,0.3108,0,1,19,23,16991,0
57,60277,0.0557,4,5,16,29,752,0
32,43190,0.2996,8,3,14,4,3051,0
69,62488,0.4036,3,0,7,2,14324,0
33,55702,0.3271,1,1,8,16,32961,0
43,45160,0.1932,5,5,7,28,25014,1
45,27067,0.1577,1,3,18,9,7047,0
55,83770,0.3965,2,1,6,4,20695,0
61,59196,0.2408,7,2,19,10,70,0
50,98474,0.2033,2,4,4,5,7047,0
37,73806,0.3214,1,0,3,3,0,0
69,66026,0.2068,5,4,17,6,26432,0
40,46295,0.0502,2,4,19,18,15757,0
68,33093,0.5348,0,2,15,6,17634,1
45,50645,0.5119,2,2,6,13,32089,0
42,32514,0.6137,5,2,12,16,5041,1
33,68003,0.1874,2,3,19,22,27001,0
39,87653,0.6417,8,1,6,16,49773,1
69,49781,0.3847,6,0,11,12,5268,1
56,73889,0.1036,4,2,10,26,0,0
32,41215,0.4576,1,5,16,0,1132,0
61,48950,0.6578,8,0,18,1,25828,0
39,38700,0.543,4,0,14,17,46194,1
32,15000,0.3641,6,0,4,3,45579,0
29,54269,0.2079,8,2,12,12,32673,0
27,57569,0.4933,3,2,8,0,33189,0
48,76317,0.0516,8,1,7,3,26968,0
34,70908,0.1517,0,2,9,1,30876,0
51,71179,0.1072,5,2,17,3,24556,0
39,35519,0.222,1,0,10,15,8003,0
67,64189,0.3728,7,1,3,3,45701,0
